year,avg_temp,sevenDayMA,FiveYearMA,TenYearMA
1750,8.72,,,
1751,7.98,,,
1752,5.78,,,
1753,8.39,,,
1754,8.47,,7.868,
1755,8.36,,7.796,
1756,8.85,8.078571429,7.97,
1757,9.02,8.121428571,8.618,
1758,6.74,7.944285714,8.288,
1759,7.99,8.26,8.192,8.03
1760,7.19,8.088571429,7.958,7.877
1761,8.77,8.131428571,7.942,7.956
1762,8.61,8.167142857,7.86,8.239
1763,7.5,7.974285714,8.012,8.15
1764,8.4,7.885714286,8.094,8.143
1765,8.25,8.101428571,8.306,8.132
1766,8.41,8.161428571,8.234,8.088
1767,8.22,8.308571429,8.156,8.008
1768,6.78,8.024285714,8.012,8.012
1769,7.69,7.892857143,7.87,7.982
1770,7.69,7.92,7.758,8.032
1771,7.85,7.841428571,7.646,7.94
1772,8.19,7.832857143,7.64,7.898
1773,8.22,7.805714286,7.928,7.97
1774,8.77,7.884285714,8.144,8.007
1775,9.18,8.227142857,8.442,8.1
1776,8.3,8.314285714,8.532,8.089
1777,8.26,8.395714286,8.546,8.093
1778,8.54,8.494285714,8.61,8.269
1779,8.98,8.607142857,8.652,8.398
1780,9.43,8.78,8.702,8.572
1781,8.1,8.684285714,8.662,8.597
1782,7.9,8.501428571,8.59,8.568
1783,7.68,8.412857143,8.418,8.514
1784,7.86,8.355714286,8.194,8.423
1785,7.36,8.187142857,7.78,8.241
1786,8.26,8.084285714,7.812,8.237
1787,8.03,7.884285714,7.838,8.214
1788,8.45,7.934285714,7.992,8.205
1789,8.33,7.995714286,8.086,8.14
1790,7.98,8.038571429,8.21,7.995
1791,8.23,8.091428571,8.204,8.008
1792,8.09,8.195714286,8.216,8.027
1793,8.23,8.191428571,8.172,8.082
1794,8.53,8.262857143,8.212,8.149
1795,8.35,8.248571429,8.286,8.248
1796,8.27,8.24,8.294,8.249
1797,8.51,8.315714286,8.378,8.297
1798,8.67,8.378571429,8.466,8.319
1799,8.51,8.438571429,8.462,8.337
1800,8.48,8.474285714,8.488,8.387
1801,8.59,8.482857143,8.552,8.423
1802,8.58,8.515714286,8.566,8.472
1803,8.5,8.548571429,8.532,8.499
1804,8.84,8.595714286,8.598,8.53
1805,8.56,8.58,8.614,8.551
1806,8.43,8.568571429,8.582,8.567
1807,8.28,8.54,8.522,8.544
1808,7.63,8.402857143,8.348,8.44
1809,7.08,8.188571429,7.996,8.297
1810,6.92,7.962857143,7.668,8.141
1811,6.86,7.68,7.354,7.968
1812,7.05,7.464285714,7.108,7.815
1813,7.74,7.365714286,7.13,7.739
1814,7.59,7.267142857,7.232,7.614
1815,7.24,7.211428571,7.296,7.482
1816,6.94,7.191428571,7.312,7.333
1817,6.98,7.2,7.298,7.203
1818,7.83,7.338571429,7.316,7.223
1819,7.37,7.384285714,7.272,7.252
1820,7.62,7.367142857,7.348,7.322
1821,8.09,7.438571429,7.578,7.445
1822,8.19,7.574285714,7.82,7.559
1823,7.72,7.685714286,7.798,7.557
1824,8.55,7.91,8.034,7.653
1825,8.39,7.99,8.188,7.768
1826,8.36,8.131428571,8.242,7.91
1827,8.81,8.301428571,8.366,8.093
1828,8.17,8.312857143,8.456,8.127
1829,7.94,8.277142857,8.334,8.184
1830,8.52,8.391428571,8.36,8.274
1831,7.64,8.261428571,8.216,8.229
1832,7.45,8.127142857,7.944,8.155
1833,8.01,8.077142857,7.912,8.184
1834,8.15,7.982857143,7.954,8.144
1835,7.39,7.871428571,7.728,8.044
1836,7.7,7.837142857,7.74,7.978
1837,7.38,7.674285714,7.726,7.835
1838,7.51,7.655714286,7.626,7.769
1839,7.63,7.681428571,7.522,7.738
1840,7.8,7.651428571,7.604,7.666
1841,7.69,7.585714286,7.602,7.671
1842,8.02,7.675714286,7.73,7.728
1843,8.17,7.742857143,7.862,7.744
1844,7.65,7.781428571,7.866,7.694
1845,7.85,7.83,7.876,7.74
1846,8.55,7.961428571,8.048,7.825
1847,8.09,8.002857143,8.062,7.896
1848,7.98,8.044285714,8.024,7.943
1849,7.98,8.038571429,8.09,7.978
1850,7.9,8,8.1,7.988
1851,8.18,8.075714286,8.026,8.037
1852,8.1,8.111428571,8.028,8.045
1853,8.04,8.038571429,8.04,8.032
1854,8.21,8.055714286,8.086,8.088
1855,8.11,8.074285714,8.128,8.114
1856,8,8.077142857,8.092,8.059
1857,7.76,8.057142857,8.024,8.026
1858,8.1,8.045714286,8.036,8.038
1859,8.25,8.067142857,8.044,8.065
1860,7.96,8.055714286,8.014,8.071
1861,7.85,8.004285714,7.984,8.038
1862,7.56,7.925714286,7.944,7.984
1863,8.11,7.941428571,7.946,7.991
1864,7.98,7.972857143,7.892,7.968
1865,8.18,7.984285714,7.936,7.975
1866,8.29,7.99,8.024,8.004
1867,8.44,8.058571429,8.2,8.072
1868,8.25,8.115714286,8.228,8.087
1869,8.43,8.24,8.318,8.105
1870,8.2,8.252857143,8.322,8.129
1871,8.12,8.272857143,8.288,8.156
1872,8.19,8.274285714,8.238,8.219
1873,8.35,8.282857143,8.258,8.243
1874,8.43,8.281428571,8.258,8.288
1875,7.86,8.225714286,8.19,8.256
1876,8.08,8.175714286,8.182,8.235
1877,8.54,8.224285714,8.252,8.245
1878,8.83,8.325714286,8.348,8.303
1879,8.17,8.322857143,8.296,8.277
1880,8.12,8.29,8.348,8.269
1881,8.27,8.267142857,8.386,8.284
1882,8.13,8.305714286,8.304,8.278
1883,7.98,8.291428571,8.134,8.241
1884,7.77,8.181428571,8.054,8.175
1885,7.92,8.051428571,8.014,8.181
1886,7.95,8.02,7.95,8.168
1887,7.91,7.99,7.906,8.105
1888,8.09,7.964285714,7.928,8.031
1889,8.32,7.991428571,8.038,8.046
1890,7.97,7.99,8.048,8.031
1891,8.02,8.025714286,8.062,8.006
1892,8.07,8.047142857,8.094,8
1893,8.06,8.062857143,8.088,8.008
1894,8.16,8.098571429,8.056,8.047
1895,8.15,8.107142857,8.092,8.07
1896,8.21,8.091428571,8.13,8.096
1897,8.29,8.137142857,8.174,8.134
1898,8.18,8.16,8.198,8.143
1899,8.4,8.207142857,8.246,8.151
1900,8.5,8.27,8.316,8.204
1901,8.54,8.324285714,8.382,8.256
1902,8.3,8.345714286,8.384,8.279
1903,8.22,8.347142857,8.392,8.295
1904,8.09,8.318571429,8.33,8.288
1905,8.23,8.325714286,8.276,8.296
1906,8.38,8.322857143,8.244,8.313
1907,7.95,8.244285714,8.174,8.279
1908,8.19,8.194285714,8.168,8.28
1909,8.18,8.177142857,8.186,8.258
1910,8.22,8.177142857,8.184,8.23
1911,8.18,8.19,8.144,8.194
1912,8.17,8.181428571,8.188,8.181
1913,8.3,8.17,8.21,8.189
1914,8.59,8.261428571,8.292,8.239
1915,8.59,8.318571429,8.366,8.275
1916,8.23,8.325714286,8.376,8.26
1917,8.02,8.297142857,8.346,8.267
1918,8.13,8.29,8.312,8.261
1919,8.38,8.32,8.27,8.281
1920,8.36,8.328571429,8.224,8.295
1921,8.57,8.325714286,8.292,8.334
1922,8.41,8.3,8.37,8.358
1923,8.42,8.327142857,8.428,8.37
1924,8.51,8.397142857,8.454,8.362
1925,8.53,8.454285714,8.488,8.356
1926,8.73,8.504285714,8.52,8.406
1927,8.52,8.527142857,8.542,8.456
1928,8.63,8.535714286,8.584,8.506
1929,8.24,8.511428571,8.53,8.492
1930,8.63,8.541428571,8.55,8.519
1931,8.72,8.571428571,8.548,8.534
1932,8.71,8.597142857,8.586,8.564
1933,8.34,8.541428571,8.528,8.556
1934,8.63,8.557142857,8.606,8.568
1935,8.52,8.541428571,8.584,8.567
1936,8.55,8.585714286,8.55,8.549
1937,8.7,8.595714286,8.548,8.567
1938,8.86,8.615714286,8.652,8.59
1939,8.76,8.622857143,8.678,8.642
1940,8.76,8.682857143,8.726,8.655
1941,8.77,8.702857143,8.77,8.66
1942,8.73,8.732857143,8.776,8.662
1943,8.76,8.762857143,8.756,8.704
1944,8.85,8.784285714,8.774,8.726
1945,8.58,8.744285714,8.738,8.732
1946,8.68,8.732857143,8.72,8.745
1947,8.8,8.738571429,8.734,8.755
1948,8.75,8.735714286,8.732,8.744
1949,8.59,8.715714286,8.68,8.727
1950,8.37,8.66,8.638,8.688
1951,8.63,8.628571429,8.628,8.674
1952,8.64,8.637142857,8.596,8.665
1953,8.87,8.664285714,8.62,8.676
1954,8.56,8.63,8.614,8.647
1955,8.63,8.612857143,8.666,8.652
1956,8.28,8.568571429,8.596,8.612
1957,8.73,8.62,8.614,8.605
1958,8.77,8.64,8.594,8.607
1959,8.73,8.652857143,8.628,8.621
1960,8.58,8.611428571,8.618,8.642
1961,8.8,8.645714286,8.722,8.659
1962,8.75,8.662857143,8.726,8.67
1963,8.86,8.745714286,8.744,8.669
1964,8.41,8.7,8.68,8.654
1965,8.53,8.665714286,8.67,8.644
1966,8.6,8.647142857,8.63,8.676
1967,8.7,8.664285714,8.62,8.673
1968,8.52,8.624285714,8.552,8.648
1969,8.6,8.602857143,8.59,8.635
1970,8.7,8.58,8.624,8.647
1971,8.6,8.607142857,8.624,8.627
1972,8.5,8.602857143,8.584,8.602
1973,8.95,8.652857143,8.67,8.611
1974,8.47,8.62,8.644,8.617
1975,8.74,8.651428571,8.652,8.638
1976,8.35,8.615714286,8.602,8.613
1977,8.85,8.637142857,8.672,8.628
1978,8.69,8.65,8.62,8.645
1979,8.73,8.682857143,8.672,8.658
1980,8.98,8.687142857,8.72,8.686
1981,9.17,8.787142857,8.884,8.743
1982,8.64,8.772857143,8.842,8.757
1983,9.03,8.87,8.91,8.765
1984,8.69,8.847142857,8.902,8.787
1985,8.66,8.842857143,8.838,8.779
1986,8.83,8.857142857,8.77,8.827
1987,8.99,8.858571429,8.84,8.841
1988,9.2,8.862857143,8.874,8.892
1989,8.92,8.902857143,8.92,8.911
1990,9.23,8.931428571,9.034,8.936
1991,9.18,9.001428571,9.104,8.937
1992,8.84,9.027142857,9.074,8.957
1993,8.87,9.032857143,9.008,8.941
1994,9.04,9.04,9.032,8.976
1995,9.35,9.061428571,9.056,9.045
1996,9.04,9.078571429,9.028,9.066
1997,9.2,9.074285714,9.1,9.087
1998,9.52,9.122857143,9.23,9.119
1999,9.29,9.187142857,9.28,9.156
2000,9.2,9.234285714,9.25,9.153
2001,9.41,9.287142857,9.324,9.176
2002,9.57,9.318571429,9.398,9.249
2003,9.53,9.388571429,9.4,9.315
2004,9.32,9.405714286,9.406,9.343
2005,9.7,9.431428571,9.506,9.378
2006,9.53,9.465714286,9.53,9.427
2007,9.73,9.541428571,9.562,9.48
2008,9.43,9.544285714,9.542,9.471
2009,9.51,9.535714286,9.58,9.493
2010,9.7,9.56,9.58,9.543
2011,9.52,9.588571429,9.578,9.554
2012,9.51,9.561428571,9.534,9.548
2013,9.61,9.572857143,9.57,9.556
2014,9.57,9.55,9.582,9.581
2015,9.83,9.607142857,9.608,9.594
